        Frequency / GHz                S1,1/abs,dB
----------------------------------------------------------------------
                       0                               0
                   0.003                   -0.0014352367
            0.0060000001                   -0.0055579422
            0.0089999996                    -0.011841062
                   0.012                    -0.019481868
                   0.015                    -0.027511124
             0.017999999                    -0.034923501
                   0.021                    -0.040815931
                   0.024                       -0.044514
             0.026999997                    -0.045672961
             0.029999999                    -0.044323023
                   0.033                    -0.040870547
             0.035999998                    -0.036037516
             0.038999993                    -0.030765535
             0.041999999                    -0.026075726
             0.044999998                    -0.022935193
                   0.048                    -0.022121821
             0.050999999                    -0.024116199
             0.053999994                    -0.029042337
                   0.057                    -0.036640588
             0.059999999                    -0.046300124
             0.063000001                    -0.057141855
                   0.066                    -0.068124451
             0.068999998                    -0.078191549
             0.071999997                    -0.086418562
             0.074999988                     -0.09214668
             0.077999987                     -0.09507785
                   0.081                     -0.09532962
             0.083999999                    -0.093417726
             0.086999997                    -0.090195216
             0.089999996                    -0.086730212
             0.092999987                    -0.084160469
             0.096000001                     -0.08353997
             0.098999999                    -0.085694902
                   0.102                    -0.091109157
                   0.105                    -0.099855348
              0.10799999                      -0.1115754
              0.11099999                     -0.12552233
                   0.114                       -0.140645
                   0.117                     -0.15572655
                    0.12                     -0.16954665
              0.12299999                     -0.18105035
                   0.126                     -0.18950504
              0.12899999                     -0.19461221
                   0.132                     -0.19656292
              0.13499998                     -0.19602118
                   0.138                     -0.19404148
                   0.141                     -0.19192512
              0.14399999                     -0.19104868
                   0.147                     -0.19267569
              0.14999998                     -0.19778842
                   0.153                     -0.20695238
              0.15599997                     -0.22023192
              0.15899999                     -0.23716706
                   0.162                     -0.25681928
              0.16499998                     -0.27787584
                   0.168                     -0.29881155
              0.17099997                     -0.31809425
              0.17399999                     -0.33439499
                   0.177                     -0.34678572
              0.17999999                     -0.35488832
                   0.183                     -0.35894921
              0.18599997                     -0.35982603
                   0.189                     -0.35887691
                   0.192                     -0.35779247
              0.19499999                     -0.35836649
                   0.198                     -0.36226004
              0.20099998                     -0.37078339
                   0.204                     -0.38471642
              0.20699997                     -0.40419152
              0.20999999                     -0.42865369
                   0.213                     -0.45690513
              0.21599998                     -0.48722532
                   0.219                     -0.51758027
              0.22199997                      -0.5458743
              0.22499999                      -0.5702495
                   0.228                     -0.58936423
              0.23099998                     -0.60260993
                   0.234                     -0.61024219
              0.23699997                       -0.613383
              0.23999999                     -0.61388642
              0.24299997                     -0.61411369
              0.24599998                     -0.61662167
                   0.249                     -0.62383848
                   0.252                     -0.63774973
                   0.255                     -0.65963697
              0.25799999                     -0.68989366
              0.26100001                     -0.72793734
                   0.264                      -0.7722258
              0.26699999                     -0.82039064
              0.26999995                     -0.86949062
                   0.273                     -0.91636735
              0.27599999                     -0.95808285
              0.27899998                     -0.99236959
              0.28200001                      -1.0180295
                   0.285                       -1.035198
              0.28799999                      -1.0454167
              0.29099995                      -1.0514958
                   0.294                       -1.057184
              0.29699999                      -1.0667144
              0.29999995                      -1.0842944
                   0.303                        -1.11361
              0.30599999                      -1.1573874
              0.30899999                      -1.2170584
              0.31199995                      -1.2925224
                   0.315                      -1.3820556
              0.31799999                      -1.4823629
              0.32099995                      -1.5888342
                   0.324                      -1.6960407
              0.32699999                      -1.7984525
              0.32999995                      -1.8913572
                   0.333                       -1.971851
                   0.336                      -2.0396845
              0.33899999                      -2.0977907
              0.34199995                      -2.1523621
                   0.345                      -2.2124739
              0.34799999                      -2.2894077
              0.35099995                      -2.3958561
                   0.354                      -2.5452228
              0.35699999                      -2.7510898
              0.35999998                      -3.0268812
              0.36299995                      -3.3856347
                   0.366                      -3.8396637
              0.36899999                      -4.3997622
              0.37199995                       -5.073173
                   0.375                      -5.8588314
              0.37799999                      -6.7370534
              0.38099995                         -7.6496
                   0.384                       -8.470767
              0.38699999                      -8.9965105
              0.38999999                      -9.0209579
              0.39299995                      -8.4983006
                   0.396                      -7.5883632
              0.39899999                      -6.5132055
              0.40199995                      -5.4334483
                   0.405                      -4.4325838
              0.40799999                      -3.5445058
              0.41099995                      -2.7780497
              0.41399994                      -2.1308534
                   0.417                      -1.5960338
              0.41999999                      -1.1651307
              0.42299995                     -0.82927328
                   0.426                     -0.57954234
              0.42899999                     -0.40695485
              0.43199995                     -0.30230218
                   0.435                     -0.25594264
              0.43799999                     -0.25763947
              0.44099998                     -0.29649973
