        Frequency / GHz                S1,1/abs,dB
----------------------------------------------------------------------
                       0                      -0.1396548
                   0.003                     -0.13303673
            0.0060000001                     -0.11446487
            0.0089999996                    -0.087515146
                   0.012                    -0.057304975
                   0.015                    -0.029474532
             0.017999999                   -0.0091384109
                   0.021                 -1.9286548e-015
                   0.024                   -0.0037527229
             0.026999997                    -0.019812401
             0.029999999                    -0.045395568
                   0.033                    -0.075959615
             0.035999998                      -0.1059508
             0.038999993                      -0.1297995
             0.041999999                     -0.14299203
             0.044999998                     -0.14300413
                   0.048                     -0.12984942
             0.050999999                     -0.10608234
             0.053999994                    -0.076262541
                   0.057                    -0.046027396
             0.059999999                    -0.021006476
             0.063000001                   -0.0058169714
                   0.066                   -0.0032891762
             0.068999998                      -0.0140125
             0.071999997                    -0.036239747
             0.074999988                    -0.066130377
             0.077999987                    -0.098362394
                   0.081                     -0.12704624
             0.083999999                      -0.1468097
             0.086999997                     -0.15388405
             0.089999996                     -0.14691079
             0.092999987                     -0.12725376
             0.096000001                    -0.098718986
             0.098999999                    -0.066768929
                   0.102                    -0.037438162
                   0.105                    -0.016221307
              0.10799999                   -0.0071127517
              0.11099999                    -0.011966003
                   0.114                    -0.030179495
                   0.117                    -0.058774728
                    0.12                    -0.092819594
              0.12299999                     -0.12623724
                   0.126                      -0.1528739
              0.12899999                     -0.16770016
                   0.132                     -0.16786484
              0.13499998                     -0.15334129
                   0.138                     -0.12696429
                   0.141                    -0.093837962
              0.14399999                    -0.060306773
                   0.147                    -0.032735396
              0.14999998                    -0.016368615
                   0.153                    -0.014464173
              0.15599997                    -0.027758863
              0.15899999                    -0.054325048
                   0.162                    -0.089811251
              0.16499998                      -0.1280991
                   0.168                     -0.16230918
              0.17099997                      -0.1860843
              0.17399999                     -0.19488434
                   0.177                     -0.18699676
              0.17999999                      -0.1639667
                   0.183                     -0.13030085
              0.18599997                      -0.0925318
                   0.189                    -0.057929851
                   0.192                    -0.033153225
              0.19499999                     -0.02311532
                   0.198                    -0.030179495
              0.20099998                    -0.053773884
                   0.204                     -0.09039662
              0.20699997                     -0.13406877
              0.20999999                     -0.17724296
                   0.213                     -0.21209794
              0.21599998                     -0.23207258
                   0.219                     -0.23329353
              0.22199997                     -0.21551354
              0.22499999                     -0.18224247
                   0.228                     -0.14003992
              0.23099998                    -0.097166538
                   0.234                      -0.0619976
              0.23699997                    -0.041547302
              0.23999999                    -0.040331155
              0.24299997                    -0.059639502
              0.24599998                    -0.097258158
                   0.249                     -0.14766327
                   0.252                      -0.2027081
                   0.255                     -0.25287408
              0.25799999                     -0.28898662
              0.26100001                     -0.30414963
                   0.264                     -0.29537806
              0.26699999                     -0.26444337
              0.26999995                     -0.21759318
                   0.273                     -0.16424684
              0.27599999                     -0.11510647
              0.27899998                    -0.080192052
              0.28200001                    -0.067194663
                   0.285                    -0.080303878
              0.28799999                     -0.11951392
              0.29099995                     -0.18042237
                   0.294                     -0.25454202
              0.29699999                     -0.33028966
              0.29999995                     -0.39475545
                   0.303                     -0.43618247
              0.30599999                     -0.44669542
              0.30899999                     -0.42446005
              0.31199995                     -0.37445551
                   0.315                      -0.3075271
              0.31799999                     -0.23810777
              0.32099995                     -0.18143624
                   0.324                     -0.15100779
              0.32699999                     -0.15666588
              0.32999995                     -0.20329475
                   0.333                     -0.28998917
                   0.336                     -0.40959749
              0.33899999                     -0.54879171
              0.34199995                      -0.6891073
                   0.345                     -0.80948913
              0.34799999                     -0.89060003
              0.35099995                     -0.92015958
                   0.354                     -0.89743453
              0.35699999                     -0.83479035
              0.35999998                     -0.75562757
              0.36299995                     -0.69000411
                   0.366                     -0.67021489
              0.36899999                     -0.72795254
              0.37199995                       -0.893534
                   0.375                      -1.1969198
              0.37799999                      -1.6702334
              0.38099995                      -2.3519108
                   0.384                        -3.29356
              0.38699999                      -4.5725498
              0.38999999                      -6.3188124
              0.39299995                      -8.7833786
                   0.396                      -12.568185
              0.39899999                      -19.940292
              0.40199995                      -28.694901
                   0.405                      -15.213027
              0.40799999                      -10.277102
              0.41099995                      -7.2932429
              0.41399994                      -5.2355814
                   0.417                      -3.7393751
              0.41999999                      -2.6314549
              0.42299995                      -1.8147634
                   0.426                      -1.2279669
              0.42899999                      -0.8279981
              0.43199995                     -0.58121717
                   0.435                      -0.4583382
              0.43799999                     -0.43129259
              0.44099998                     -0.47141489
              0.44399995                      -0.5489853
                   0.447                     -0.63439345
              0.44999999                     -0.70100403
              0.45299995                     -0.72908473
                   0.456                     -0.70927501
              0.45899999                     -0.64378643
              0.46199995                     -0.54453695
              0.46499994                     -0.42906162
              0.46799999                     -0.31592008
              0.47099999                     -0.22109273
              0.47399995                     -0.15584093
                   0.477                     -0.12586954
              0.47999999                     -0.13131364
              0.48299995                     -0.16724415
              0.48599994                     -0.22455226
              0.48899999                     -0.29126647
              0.49199995                     -0.35435712
              0.49499995                     -0.40194529
                   0.498                     -0.42552838
              0.50099999                     -0.42164606
              0.50400001                     -0.39239952
              0.50699997                     -0.34465447
              0.50999999                      -0.2882266
              0.51300001                     -0.23369506
              0.51599997                     -0.19042632
              0.51899999                     -0.16515543
              0.52200001                     -0.16120681
              0.52499998                     -0.17827182
                   0.528                     -0.21266189
              0.53099996                     -0.25796691
              0.53399998                     -0.30610687
                   0.537                     -0.34870303
               0.5399999                     -0.37859043
              0.54299998                     -0.39118847
                   0.546                     -0.38536423
              0.54899991                     -0.36354911
              0.55199999                     -0.33105442
              0.55500001                     -0.29485959
              0.55799997                     -0.26217586
              0.56099999                     -0.23916674
